name;r2_score;time;parameters
mean;0.8941776781935917;0.006000041961669922;
median;0.8802974334665135;0.013000011444091797;
Decision Tree;0.957561366240464;7.41499924659729;10
K-nearest neighbors;0.9419930130210371;0.6099987030029297;4
Linear Regression;0.9533038739776463;0.1369919776916504;
K-means;0.9255624656469204;3.9454267024993896;40
EM algorithm;0.9447180262139233;4.356011629104614;2
Extra Trees;0.9752116004264745;138.20195841789246;100
Random Forest;0.9734652934584694;218.5979552268982;90
ANN;0.9596705765136332;85.28442358970642;
