name;r2_score;time;parameters
mean;0.6893089284366052;0.008002042770385742;
median;0.6770102075780938;0.01703023910522461;
Decision Tree;0.8463426205090584;37.75200963020325;5
K-nearest neighbors;0.7575236167662727;1.5810294151306152;22
Linear Regression;0.9332496557800636;0.2521336078643799;
K-means;0.741556189355689;4.030999422073364;4
EM algorithm;0.9232447834604828;5.4852776527404785;3
Extra Trees;0.9070348339622808;319.883585691452;100
Random Forest;0.8994156459508432;682.9511151313782;100
ANN;0.9331316401057579;161.55013346672058;
