name;r2_score;time;parameters
mean;0.6367811981514941;0.028000354766845703;
median;0.6055380629331162;0.058031558990478516;
Decision Tree;0.7520605928573771;174.46973180770874;10
K-nearest neighbors;0.7043534022144898;917.3150508403778;48
Linear Regression;0.6981356999581614;0.5646374225616455;
K-means;0.6656053901324143;24.065202236175537;48
EM algorithm;0.7640340371853543;44.86792206764221;2
Extra Trees;0.7854247818416904;361.1935911178589;40
Random Forest;0.7845056147079719;2385.7494745254517;100
ANN;0.7090051964696693;1808.3770606517792;
