name;r2_score;time;parameters
mean;0.4733357503223514;0.0069997310638427734;
median;0.44693192405600146;0.015000104904174805;
Decision Tree;0.6855033502604028;25.98204207420349;5
K-nearest neighbors;0.5360536135382805;2.280010223388672;30
Linear Regression;0.784371233720608;0.21500539779663086;
K-means;0.5329212701953681;4.189002990722656;6
EM algorithm;0.8232104528952688;5.519999742507935;3
Extra Trees;0.8149398640871385;346.4352967739105;80
Random Forest;0.7919964334661795;538.8416407108307;80
ANN;0.8179712942063858;113.21493935585022;
