name;r2_score;time;parameters
mean;0.49384416477485427;0.007998466491699219;
median;0.48668689469280646;0.016998767852783203;
Decision Tree;0.8378566611037573;16.670076847076416;5
K-nearest neighbors;0.828860914618598;42.12099099159241;48
Linear Regression;0.8310183913630209;0.18400883674621582;
K-means;0.6658320537815058;8.548001766204834;16
EM algorithm;0.8740018095147374;12.74875020980835;3
Extra Trees;0.8805927102414893;86.9240095615387;80
Random Forest;0.8640970415485615;198.38703036308289;30
ANN;0.8461539457972301;250.83182978630066;
