name;r2_score;time;parameters
mean;0.7053128298709014;0.006001949310302734;
median;0.6744448496848403;0.013002157211303711;
Decision Tree;0.8178046154974856;6.401028871536255;5
K-nearest neighbors;0.7865007298360484;0.7700273990631104;14
Linear Regression;0.8003554133734483;0.13897085189819336;
K-means;0.753717915774089;3.851012945175171;14
EM algorithm;0.8222144485494876;4.571253776550293;2
Extra Trees;0.8747676887566095;104.71357607841492;50
Random Forest;0.8549828588633562;175.90551805496216;70
ANN;0.8265884389404898;51.6796178817749;
