name;r2_score;time;parameters
mean;0.9031310162470196;0.006999969482421875;
median;0.9023214061760351;0.016971588134765625;
Decision Tree;0.9795515507815612;29.8860285282135;5
K-nearest neighbors;0.9810717945195361;13.022018194198608;16
Linear Regression;0.9832138274376495;0.15365386009216309;
K-means;0.9650102649356027;8.592999935150146;16
EM algorithm;0.9830894302481897;9.461303949356079;3
Extra Trees;0.9824472741604353;101.05299067497253;90
Random Forest;0.9825275106120217;274.9630002975464;40
ANN;0.9827503069641765;371.02471351623535;
